Index, Checkpoint Creation, Checkpoint Location, Permission Change, Image Creation, Image Push, Pod Ready, Total
609,175,8,18,2418,3050,2161,8171
621,162,7,18,2462,2863,2316,8171
731,176,6,19,2302,2870,2484,8171
734,170,7,17,2267,2966,2418,8171
625,172,6,16,2241,2793,2612,8170
704,228,6,20,2343,2920,2297,8168
630,165,7,19,2538,2842,2269,8167
554,172,7,17,2385,2793,2473,8166
579,164,7,19,2285,3127,2237,8166
636,174,7,19,2284,2827,2520,8166
596,165,7,18,2381,3012,2263,8165
642,149,7,18,2427,2996,2226,8165
650,167,7,19,2352,2835,2464,8165
692,165,7,19,2258,3051,2317,8165
685,168,8,18,2497,2962,2182,8164
680,202,8,19,2441,2847,2300,8163
624,178,7,18,2323,2923,2376,8162
582,148,7,18,2419,3004,2228,8161
690,172,7,19,2554,2942,2124,8161
705,176,7,21,2282,2805,2568,8160
637,161,6,16,2346,3049,2263,8159
672,236,8,19,2261,3044,2289,8159
627,167,8,19,2432,2814,2396,8158
651,168,7,17,2369,3033,2222,8156
730,181,7,18,2313,2965,2336,8156
558,165,8,18,2246,2756,2650,8155
597,167,8,21,2335,2793,2496,8155
622,187,8,15,2311,2806,2515,8154
709,182,6,17,2151,2881,2624,8154
556,162,7,18,2431,2987,2229,8153
640,154,7,18,2250,2947,2457,8153
618,162,7,21,2218,2991,2423,8152
687,186,7,18,2372,2937,2294,8152
670,180,7,20,2418,3010,2171,8151
678,159,7,20,2381,3046,2190,8150
696,215,7,18,2489,2998,2076,8150
620,186,7,17,2402,2939,2244,8149
664,184,9,16,2430,3080,2093,8145
694,175,7,18,2493,3100,2034,8145
703,171,7,20,2278,2992,2362,8144
701,171,8,24,2558,2931,2103,8142
707,189,7,20,2271,2808,2505,8142
668,178,10,19,2391,3085,2073,8136
698,169,7,19,2582,2895,2110,8136
595,178,8,20,2517,2828,2256,8134
671,180,8,19,2367,2980,2256,8120
681,191,8,19,2511,2927,2104,8102
516,180,5,14,2383,2486,2567,7937
