Index, Checkpoint Creation, Checkpoint Location, Permission Change, Image Creation, Image Push, Pod Ready, Total
122, 2434, 4, 13, 1831, 8050, 3877, 16424
123, 2580, 4, 12, 1849, 8696, 4101, 17456
124, 2161, 3, 14, 1858, 7737, 4423, 16413
125, 2402, 4, 11, 1819, 8429, 4607, 17478
126, 2090, 4, 13, 1818, 8153, 4120, 16409
127, 2495, 3, 11, 1853, 8115, 4805, 17489
128, 2238, 3, 12, 1869, 8184, 3887, 16405
129, 2446, 3, 13, 1843, 8372, 4610, 17495
130, 2516, 4, 13, 1807, 8121, 4713, 17393
131, 2301, 3, 10, 1905, 8458, 4631, 17516
132, 2500, 3, 13, 1855, 8272, 4508, 17364
133, 2501, 5, 11, 1831, 8420, 4545, 17531
134, 2276, 3, 12, 1916, 8405, 4535, 17359
135, 2472, 3, 11, 1821, 9349, 4689, 18547
136, 2327, 4, 13, 1900, 9249, 3634, 17347
137, 2114, 3, 10, 1972, 10039, 4210, 18557
138, 2439, 3, 15, 1805, 9097, 3757, 17330
139, 2416, 3, 11, 1837, 10084, 4021, 18585
140, 2454, 4, 12, 1818, 9170, 4649, 18321
141, 2378, 3, 11, 1884, 9652, 4442, 18580
142, 2491, 4, 14, 1875, 9197, 4496, 18299
143, 2365, 3, 9, 1892, 10048, 5077, 19601
144, 2482, 3, 13, 1830, 9160, 4606, 18300
145, 2349, 3, 12, 1831, 9611, 4608, 18620
146, 2225, 4, 13, 1837, 9075, 3885, 17261
147, 2305, 5, 13, 1958, 9381, 3735, 17639
148, 2301, 3, 13, 1876, 9407, 4432, 18260
149, 2258, 4, 12, 1862, 8091, 4206, 16637
150, 2289, 4, 11, 1827, 9815, 4650, 18819
151, 2411, 4, 11, 1863, 9182, 4378, 18060
152, 2356, 3, 15, 1821, 9445, 4980, 18836
153, 2574, 5, 16, 1917, 11128, 4203, 20082
154, 2384, 5, 18, 2029, 10445, 4720, 19838
155, 2297, 4, 15, 1975, 11059, 4521, 20101
156, 2493, 3, 12, 1824, 10296, 4988, 19835
157, 2268, 3, 11, 1828, 9428, 4313, 18062
158, 2323, 3, 13, 1835, 9378, 5061, 18846
159, 2265, 4, 10, 1840, 9252, 4467, 18043
160, 2321, 4, 15, 1827, 9619, 4880, 18882
161, 2172, 3, 10, 1854, 9193, 4605, 18045
162, 2326, 4, 13, 1766, 9169, 4408, 17897
163, 2718, 4, 10, 1835, 10605, 4630, 20016
164, 2231, 4, 13, 1866, 9316, 4395, 18047
