Index, Checkpoint Creation, Checkpoint Location, Permission Change, Image Creation, Image Push, Pod Ready, Total
499,306,3,10,375,700,1754,3353
500,228,4,10,382,771,1895,3499
501,324,4,10,418,756,1611,3337
502,212,4,11,379,749,1943,3508
503,306,4,11,385,712,1664,3303
504,236,3,11,386,682,1986,3513
505,338,4,11,390,752,1586,3302
506,231,4,11,388,789,1872,3503
507,335,3,11,384,723,1663,3332
508,221,4,12,366,732,1944,3482
509,321,4,11,422,740,1650,3364
510,224,4,12,389,692,1931,3459
511,321,3,11,379,828,1610,3365
512,220,3,11,361,658,2051,3508
513,321,3,11,394,767,1589,3299
514,213,3,13,372,657,2073,3536
515,322,4,10,375,719,1651,3302
516,232,4,12,369,683,2059,3563
517,313,3,10,371,714,1650,3266
518,219,3,12,367,765,1982,3561
519,309,3,10,415,806,1493,3251
520,237,4,13,384,720,2015,3578
521,295,4,13,391,722,1590,3233
522,223,3,12,362,690,2106,3603
523,334,3,10,380,739,1548,3232
524,232,4,11,388,805,1957,3607
525,311,4,11,406,737,1492,3181
526,218,3,12,364,683,2154,3643
527,327,3,11,391,725,1506,3181
528,212,3,11,365,683,2174,3657
529,326,4,12,393,701,1490,3144
530,218,3,12,372,662,1215,2688
531,275,4,10,398,769,1478,3145
532,239,4,11,376,668,1135,2636
533,313,3,10,391,801,1448,3177
534,230,3,11,373,682,2178,3680
535,317,3,10,373,714,1536,3158
536,206,3,11,355,715,2225,3717
537,310,3,10,401,810,1373,3116
538,231,3,11,351,673,1272,2740
539,323,3,10,392,721,1446,3111
540,210,4,11,355,657,1281,2721
541,312,3,11,395,791,1393,3119
542,242,3,11,384,809,2074,3718
543,317,3,11,392,741,1416,3100
544,212,3,10,375,714,1218,2743
545,337,4,10,377,756,1388,3083
546,242,4,10,359,667,1282,2766
547,339,3,11,370,708,1410,3052
548,210,4,11,371,708,1248,2763
549,331,3,11,378,825,1283,3045
550,256,3,11,395,681,1236,2791
551,313,3,11,393,737,1346,3023
552,211,4,11,371,665,1325,2794
553,289,4,10,400,743,1354,3012
554,209,4,12,374,800,1213,2851
555,317,4,11,423,847,1143,2967
556,249,3,11,393,804,2160,3849
557,333,4,12,390,763,1288,2998
558,239,3,10,370,689,1323,2842
559,345,3,10,380,776,1263,2986
560,239,3,11,395,845,2141,3842
561,345,4,11,406,801,1187,2976
562,220,3,12,366,710,1356,2876
563,330,4,11,394,894,1078,2946
564,217,3,11,376,704,1351,2876
565,323,4,11,382,811,1164,2914
566,199,3,11,378,677,1462,2935
567,318,3,11,381,817,1123,2868
568,226,3,12,377,749,1413,2990
569,263,3,10,382,750,1245,2862
570,221,4,10,385,728,1426,2973
571,301,3,11,395,748,1180,2851
572,239,3,10,369,681,1515,3025
573,325,4,11,406,871,1955,3802
574,239,3,12,415,721,1411,3010
575,299,4,13,397,768,1115,2811
576,239,3,13,380,668,1533,3044
577,275,3,10,382,729,1166,2770
578,256,4,13,433,725,1349,3006
579,329,4,11,407,897,1902,3766
580,203,4,11,379,662,1605,3073
581,283,4,11,381,758,1100,2749
582,238,4,16,451,723,1333,3013
583,348,3,11,383,775,2023,3759
584,213,3,11,364,647,1658,3103
585,342,4,12,380,709,2052,3718
586,234,3,12,382,731,1593,3165
587,340,4,11,381,745,1989,3686
588,232,3,11,366,734,1624,3178
589,318,3,11,370,698,1055,2661
590,239,4,11,380,677,1703,3221
591,269,3,11,379,787,1943,3604
592,229,4,12,389,751,1661,3254
593,317,4,10,403,717,1880,3549
594,224,4,12,343,708,1831,3322
595,313,3,11,375,724,1909,3549
596,231,3,12,381,755,1712,3306
597,337,3,11,396,825,1725,3515
598,214,4,11,398,706,1767,3311
599,334,3,12,386,862,1663,3481
600,226,4,12,390,734,1766,3334
601,302,3,11,391,734,1829,3485
602,221,4,12,366,662,1860,3337
603,296,3,11,375,701,1923,3524
604,227,4,11,416,704,1738,3311
605,307,4,11,402,730,1837,3510
606,215,4,11,372,673,1826,3314
607,323,3,11,364,721,1887,3520
608,227,4,11,376,692,1805,3317
609,339,3,11,409,747,1804,3520
610,224,4,11,381,773,1749,3345
611,326,3,12,384,726,1824,3487
612,206,4,11,367,710,1818,3328
613,302,3,11,379,758,1820,3487
614,198,3,11,385,708,1832,3349
615,317,4,11,391,822,1704,3464
616,203,4,11,383,712,1863,3377
617,311,4,11,403,732,1706,3409
618,251,4,11,380,685,1886,3421
619,310,4,10,414,768,1677,3418
620,230,3,11,364,698,1912,3424
621,343,3,11,372,720,1724,3391
622,213,3,10,366,733,1930,3465
623,334,4,11,406,851,1524,3361
624,192,4,10,377,671,2045,3502
625,308,3,12,363,711,1743,3339
626,223,3,11,384,675,2046,3541
627,338,3,13,368,745,1621,3299
628,251,4,14,380,826,1875,3550
629,334,4,10,455,745,1499,3259
630,206,3,11,360,638,1170,2583
631,287,3,10,376,740,1594,3223
632,214,3,11,373,677,2183,3661
633,311,3,10,382,794,1454,3166
634,218,3,10,371,727,2162,3699
635,336,4,10,370,717,1468,3117
636,237,3,10,369,694,1199,2720
637,289,3,10,363,684,1548,3104
638,206,3,11,385,763,1135,2710
639,340,3,11,377,728,1427,3093
640,222,3,12,352,670,1281,2747
641,346,4,10,413,752,1329,3065
642,252,3,11,366,779,1155,2764
643,283,4,10,376,715,1460,3055
644,219,3,11,370,687,1274,2768
645,287,4,11,379,785,1375,3052
646,229,3,11,393,782,2149,3775
647,311,4,10,412,729,1322,3007
648,217,3,11,367,653,1366,2830
649,322,3,10,360,706,1354,2972
650,223,3,12,383,727,1300,2852
651,328,3,10,382,806,1205,2944
652,208,3,13,380,804,1275,2890
653,317,3,11,369,733,1275,2932
654,219,3,10,364,708,1378,2892
655,327,3,11,399,698,1263,2911
656,210,4,11,367,670,1508,2973
657,312,3,9,384,718,1208,2842
658,222,3,11,351,657,1562,3032
659,338,3,10,389,740,1094,2792
660,219,3,10,358,689,1609,3087
661,275,3,11,357,692,1206,2751
662,230,4,10,363,709,1599,3122
663,322,4,10,380,708,1066,2703
664,223,3,11,370,769,1521,3100
665,311,3,12,399,790,1959,3689
666,216,4,11,365,696,1650,3151
667,311,3,10,378,802,1963,3673
668,207,4,11,359,688,1712,3183
669,317,3,11,371,764,1996,3660
670,216,4,11,375,729,1675,3214
671,317,3,11,386,727,1945,3615
672,225,3,10,363,764,1659,3232
673,296,3,11,380,696,1999,3601
674,263,3,11,375,659,1732,3251
675,329,14,12,391,748,1826,3543
676,198,3,10,371,733,1766,3294
677,344,3,10,395,776,1754,3494
678,227,3,10,368,675,1845,3333
679,307,4,11,395,712,1833,3473
680,229,4,11,361,737,1791,3338
681,307,3,10,380,715,1834,3461
682,233,3,11,362,754,1805,3374
683,330,4,12,413,802,1658,3426
684,241,4,12,372,685,1846,3362
685,329,4,12,383,725,1788,3453
686,214,4,11,357,640,1949,3377
687,314,3,11,391,757,1734,3423
688,214,4,11,366,754,1875,3427
689,279,3,10,375,693,1818,3382
690,227,3,12,351,676,2036,3498
691,334,4,10,382,767,1631,3339
692,210,3,11,372,685,2026,3518
693,328,4,10,371,703,1648,3275
694,202,3,10,357,671,2112,3559
695,314,3,11,382,850,1474,3248
696,240,3,12,372,669,2116,3610
697,282,3,11,380,739,1575,3205
698,214,4,11,370,699,2102,3605
699,340,4,12,386,733,1499,3194
700,198,4,11,369,669,1192,2652
701,310,4,11,408,843,1370,3157
702,236,3,12,378,699,1156,2687
703,330,3,12,376,781,1406,3120
