Index, Checkpoint Creation, Checkpoint Location, Permission Change, Image Creation, Image Push, Pod Ready, Total
161, 1966, 7, 17, 2378, 9968, 4459, 19098
162, 1971, 7, 18, 2397, 11552, 4997, 21264
163, 1999, 6, 18, 2553, 10984, 5287, 21163
164, 2051, 6, 17, 2340, 10845, 4716, 20270
165, 2040, 6, 17, 2281, 10737, 4596, 19979
166, 1824, 6, 18, 2482, 11134, 4448, 20231
167, 2101, 6, 20, 2407, 10246, 5065, 20172
168, 2040, 5, 17, 2442, 10839, 5302, 20951
169, 2042, 6, 19, 2604, 10976, 4866, 20838
170, 1975, 7, 18, 2354, 10748, 4810, 20220
171, 2106, 5, 17, 2374, 11803, 4550, 21164
172, 2059, 6, 15, 2505, 10486, 4453, 19838
173, 2061, 6, 16, 2445, 10340, 4668, 19853
174, 2073, 6, 17, 2399, 10795, 4526, 20112
175, 2057, 6, 17, 2564, 10603, 4700, 20263
176, 2012, 6, 17, 2699, 10249, 4648, 19955
177, 2007, 6, 17, 2572, 11099, 5091, 21124
178, 2139, 7, 19, 2578, 10960, 5199, 21222
179, 2097, 6, 17, 2430, 10521, 4893, 20268
180, 2041, 5, 17, 2342, 10884, 4551, 20127
181, 2212, 6, 17, 2460, 11428, 4435, 20868
182, 2187, 6, 19, 2373, 10077, 4817, 19801
183, 2060, 6, 15, 2514, 10693, 4625, 20222
184, 2112, 5, 19, 2450, 10531, 4707, 20134
185, 2061, 7, 18, 2477, 11107, 4274, 20256
186, 2078, 6, 18, 2448, 10635, 4724, 20227
187, 2065, 7, 19, 2399, 10158, 4177, 19120
188, 2014, 6, 17, 2511, 11161, 5283, 21284
189, 2262, 7, 16, 2597, 10423, 4609, 20245
190, 1997, 6, 18, 2444, 10814, 4611, 20221
191, 2058, 6, 18, 2488, 10691, 4613, 20179
192, 2076, 6, 17, 2321, 10152, 5089, 19973
193, 2038, 6, 17, 2475, 11119, 4276, 20238
194, 2061, 6, 19, 2711, 10376, 4645, 20136
195, 2106, 6, 18, 2434, 11328, 4937, 21157
196, 2062, 7, 19, 2230, 10872, 4345, 19836
197, 1979, 6, 18, 2290, 10906, 4453, 19950
198, 1952, 7, 18, 2401, 10491, 4678, 19848
199, 2109, 7, 18, 2577, 10735, 30362, 46113
200, 2053, 7, 18, 2436, 10524, 30345, 45702
201, 1938, 6, 18, 2368, 11223, 30370, 46234
202, 2096, 6, 17, 2409, 10615, 30354, 45800
203, 1992, 7, 18, 2408, 11236, 30362, 46333
204, 1996, 7, 17, 2293, 10487, 30368, 45490
205, 1977, 6, 17, 2193, 10947, 5250, 20705
206, 2104, 6, 17, 2604, 11292, 4772, 21117
207, 1963, 6, 18, 2592, 11071, 4915, 20890
208, 2039, 7, 18, 2415, 10046, 4036, 18861
209, 2379, 7, 18, 2680, 10903, 4756, 21083
210, 2100, 7, 18, 2348, 11068, 4990, 20849
211, 2105, 5, 18, 2512, 10423, 4890, 20269
212, 2044, 7, 19, 2350, 10301, 5224, 20249
213, 2139, 6, 16, 2300, 10953, 4438, 20153
214, 2028, 6, 17, 2416, 10463, 5024, 20247
215, 2117, 7, 19, 2486, 10604, 4567, 20122
