Image,Checkpointed,Checkpoint size,Freezing time,Frozen time,Memdump time,Memwrite time,Total dump time
10.0.0.180:5000/localmongo:latest,2024-06-03T10:02:04Z,72.2 MiB,3.077,205.72,87.865,65.851,362.513
10.0.0.180:5000/localmongo:latest,2024-06-03T11:39:57Z,72.2 MiB,2.655,195.78,80.25,61.191,339.876
10.0.0.180:5000/localmongo:latest,2024-06-03T10:40:24Z,72.2 MiB,2.905,202.63,87.153,62.867,355.555
10.0.0.180:5000/localmongo:latest,2024-06-03T10:17:01Z,72.2 MiB,2.771,211.89,89.93,64.865,369.456
10.0.0.180:5000/localmongo:latest,2024-06-03T11:50:21Z,72.2 MiB,2.727,213.68,89.555,64.866,370.828
10.0.0.180:5000/localmongo:latest,2024-06-03T11:50:48Z,72.2 MiB,2.719,194.51,77.386,60.043,334.658
10.0.0.180:5000/localmongo:latest,2024-06-03T12:18:52Z,72.2 MiB,2.82,194.16,80.05,60.205,337.235
10.0.0.180:5000/localmongo:latest,2024-06-03T10:41:16Z,72.2 MiB,2.625,190.26,82.321,60.663,335.869
10.0.0.180:5000/localmongo:latest,2024-06-03T09:58:58Z,72.2 MiB,2.705,194.9,83.989,59.687,341.281
10.0.0.180:5000/localmongo:latest,2024-06-03T10:59:48Z,72.2 MiB,2.696,194.23,80.547,60.128,337.601
10.0.0.180:5000/localmongo:latest,2024-06-03T12:16:43Z,72.2 MiB,2.725,202.21,87.481,63.054,355.47
10.0.0.180:5000/localmongo:latest,2024-06-03T12:01:38Z,72.2 MiB,3.028,195.02,79.55,56.979,334.577
10.0.0.180:5000/localmongo:latest,2024-06-03T10:15:12Z,72.2 MiB,2.753,199.88,82.097,60.869,345.599
10.0.0.180:5000/localmongo:latest,2024-06-03T11:47:44Z,72.2 MiB,2.669,186.07,76.704,56.37,321.813
10.0.0.180:5000/localmongo:latest,2024-06-03T11:44:16Z,72.2 MiB,2.642,193.61,85.751,61.383,343.386
10.0.0.180:5000/localmongo:latest,2024-06-03T12:09:16Z,72.2 MiB,2.77,183.89,75.458,56.181,318.299
10.0.0.180:5000/localmongo:latest,2024-06-03T11:46:52Z,72.2 MiB,2.766,196.17,82.356,61.602,342.894
10.0.0.180:5000/localmongo:latest,2024-06-03T11:22:09Z,72.2 MiB,2.665,195.71,84.24,62.662,345.277
10.0.0.180:5000/localmongo:latest,2024-06-03T11:59:03Z,72.2 MiB,3.617,199.35,79.879,55.702,338.548
10.0.0.180:5000/localmongo:latest,2024-06-03T11:49:04Z,72.2 MiB,2.771,206.94,95.648,70.532,375.891
10.0.0.180:5000/localmongo:latest,2024-06-03T11:57:46Z,72.2 MiB,2.073,183.86,73.211,55.963,315.107
10.0.0.180:5000/localmongo:latest,2024-06-03T11:23:53Z,72.2 MiB,2.7,193.92,79.593,61.123,337.336
10.0.0.180:5000/localmongo:latest,2024-06-03T11:38:40Z,72.2 MiB,2.639,196.92,87.525,62.345,349.429
10.0.0.180:5000/localmongo:latest,2024-06-03T10:58:29Z,72.2 MiB,3.143,226.06,103.11,76.376,408.689
10.0.0.180:5000/localmongo:latest,2024-06-03T11:09:51Z,72.2 MiB,2.56,189.88,87.239,63.362,343.041
10.0.0.180:5000/localmongo:latest,2024-06-03T11:47:17Z,72.2 MiB,2.761,206.27,85.404,63.725,358.16
10.0.0.180:5000/localmongo:latest,2024-06-03T12:04:18Z,72.2 MiB,2.862,197.18,79.284,56.911,336.237
10.0.0.180:5000/localmongo:latest,2024-06-03T10:13:50Z,72.2 MiB,2.716,211.47,86.646,63.833,364.665
10.0.0.180:5000/localmongo:latest,2024-06-03T12:06:51Z,72.2 MiB,2.926,208.1,81.267,57.202,349.495
10.0.0.180:5000/localmongo:latest,2024-06-03T11:34:46Z,72.2 MiB,2.11,189.1,78.041,60.976,330.227
10.0.0.180:5000/localmongo:latest,2024-06-03T11:36:30Z,72.2 MiB,2.652,181.13,79.222,60.99,323.994
10.0.0.180:5000/localmongo:latest,2024-06-03T11:49:55Z,72.2 MiB,2.627,194.94,85.986,61.742,345.295
10.0.0.180:5000/localmongo:latest,2024-06-03T12:06:27Z,72.2 MiB,2.62,189,74.68,52.257,318.557
10.0.0.180:5000/localmongo:latest,2024-06-03T11:39:07Z,72.2 MiB,2.692,189.85,80.925,60.425,333.892
10.0.0.180:5000/localmongo:latest,2024-06-03T10:16:07Z,72.2 MiB,2.65,188.13,78.419,60.965,330.164
10.0.0.180:5000/localmongo:latest,2024-06-03T11:51:42Z,72.2 MiB,2.672,208.92,86.64,61.734,359.966
10.0.0.180:5000/localmongo:latest,2024-06-03T12:16:19Z,72.2 MiB,2.669,186.75,83.915,62.844,336.178
10.0.0.180:5000/localmongo:latest,2024-06-03T11:52:34Z,72.2 MiB,2.735,206.33,77.658,60.643,347.366
10.0.0.180:5000/localmongo:latest,2024-06-03T10:55:26Z,72.2 MiB,2.701,201.15,81.352,61.917,347.12
10.0.0.180:5000/localmongo:latest,2024-06-03T10:58:03Z,72.2 MiB,2.648,195.46,85.517,61.83,345.455
10.0.0.180:5000/localmongo:latest,2024-06-03T11:49:29Z,72.2 MiB,2.851,196.35,77.575,61.405,338.181
10.0.0.180:5000/localmongo:latest,2024-06-03T12:17:07Z,72.2 MiB,2.82,187.34,76.652,54.453,321.265
10.0.0.180:5000/localmongo:latest,2024-06-03T10:01:10Z,72.2 MiB,2.803,218.62,90.857,65.601,377.881
10.0.0.180:5000/localmongo:latest,2024-06-03T12:01:13Z,72.2 MiB,2.834,191.87,77.278,56.532,328.514
10.0.0.180:5000/localmongo:latest,2024-06-03T09:59:22Z,72.2 MiB,2.941,191.98,79.126,61.517,335.564
10.0.0.180:5000/localmongo:latest,2024-06-03T11:46:27Z,72.2 MiB,2.822,207.44,89.887,64.164,364.313
10.0.0.180:5000/localmongo:latest,2024-06-03T12:05:36Z,72.2 MiB,2.85,203.64,90.434,67.546,364.47
10.0.0.180:5000/localmongo:latest,2024-06-03T09:59:48Z,72.2 MiB,2.717,181.85,84.227,63.382,332.176
10.0.0.180:5000/localmongo:latest,2024-06-03T11:14:38Z,72.2 MiB,2.735,209.14,89.213,64.564,365.652
10.0.0.180:5000/localmongo:latest,2024-06-03T11:59:55Z,72.2 MiB,2.794,195.05,81.282,57.419,336.545
10.0.0.180:5000/localmongo:latest,2024-06-03T11:40:46Z,72.2 MiB,2.7,202.44,89.011,64.594,358.745
10.0.0.180:5000/localmongo:latest,2024-06-03T10:05:11Z,72.2 MiB,2.759,208.38,87.357,63.68,362.176
10.0.0.180:5000/localmongo:latest,2024-06-03T11:23:01Z,72.2 MiB,2.722,206.88,82.489,61.367,353.458
10.0.0.180:5000/localmongo:latest,2024-06-03T11:54:18Z,72.2 MiB,2.768,214.91,79.45,57.311,354.439
10.0.0.180:5000/localmongo:latest,2024-06-03T11:41:12Z,72.2 MiB,2.971,210.19,86.309,62.554,362.024
10.0.0.180:5000/localmongo:latest,2024-06-03T10:08:20Z,72.2 MiB,2.872,218.31,97.744,70.767,389.693
10.0.0.180:5000/localmongo:latest,2024-06-03T12:08:28Z,72.2 MiB,2.826,197.12,83.368,59.139,342.453
10.0.0.180:5000/localmongo:latest,2024-06-03T12:12:41Z,72.2 MiB,2.851,197.92,81.482,57.507,339.76
10.0.0.180:5000/localmongo:latest,2024-06-03T10:09:14Z,72.2 MiB,2.734,209.55,84.281,63.912,360.477
10.0.0.180:5000/localmongo:latest,2024-06-03T10:06:05Z,72.2 MiB,2.867,213.68,89.436,64.839,370.822
10.0.0.180:5000/localmongo:latest,2024-06-03T11:19:29Z,72.2 MiB,2.728,198.18,86.934,62.013,349.855
10.0.0.180:5000/localmongo:latest,2024-06-03T12:10:30Z,72.2 MiB,2.706,183.07,76.46,56.071,318.307
10.0.0.180:5000/localmongo:latest,2024-06-03T11:18:09Z,72.2 MiB,2.664,212.09,86.101,61.793,362.648
10.0.0.180:5000/localmongo:latest,2024-06-03T10:13:23Z,72.2 MiB,2.825,198.93,80.747,64.237,346.739
10.0.0.180:5000/localmongo:latest,2024-06-03T11:06:20Z,72.2 MiB,2.747,200.97,92.163,68.513,364.393
10.0.0.180:5000/localmongo:latest,2024-06-03T11:18:36Z,72.2 MiB,2.78,215.87,88.266,63.062,369.978
10.0.0.180:5000/localmongo:latest,2024-06-03T10:11:03Z,72.2 MiB,2.616,196.58,80.248,62.652,342.096
10.0.0.180:5000/localmongo:latest,2024-06-03T10:01:38Z,72.2 MiB,2.763,209.45,95.839,72.705,380.757
10.0.0.180:5000/localmongo:latest,2024-06-03T12:18:25Z,72.2 MiB,2.951,210.67,89.353,64.686,367.66
10.0.0.180:5000/localmongo:latest,2024-06-03T10:59:21Z,72.2 MiB,2.569,187.26,79.747,60.774,330.35
10.0.0.180:5000/localmongo:latest,2024-06-03T11:37:22Z,72.2 MiB,2.697,201.62,86.27,61.81,352.397
10.0.0.180:5000/localmongo:latest,2024-06-03T11:58:37Z,72.2 MiB,2.792,187.05,75.648,55.319,320.809
10.0.0.180:5000/localmongo:latest,2024-06-03T11:56:02Z,72.2 MiB,3.208,255.99,136.6,99.043,494.841
10.0.0.180:5000/localmongo:latest,2024-06-03T12:00:22Z,72.2 MiB,2.867,201.66,81.447,57.305,343.279
10.0.0.180:5000/localmongo:latest,2024-06-03T10:11:58Z,72.2 MiB,2.68,197.88,86.688,62.956,350.204
10.0.0.180:5000/localmongo:latest,2024-06-03T11:21:41Z,72.2 MiB,2.709,225.47,86.604,61.943,376.726
10.0.0.180:5000/localmongo:latest,2024-06-03T10:21:06Z,72.2 MiB,2.588,190.42,82.476,61.373,336.857
10.0.0.180:5000/localmongo:latest,2024-06-03T10:20:10Z,72.2 MiB,2.689,205.73,87.281,64.271,359.971
10.0.0.180:5000/localmongo:latest,2024-06-03T10:18:21Z,72.2 MiB,2.711,225.63,90.249,65.479,384.069
10.0.0.180:5000/localmongo:latest,2024-06-03T10:10:09Z,72.2 MiB,2.746,203.94,88.066,63.084,357.836
10.0.0.180:5000/localmongo:latest,2024-06-03T12:02:04Z,72.2 MiB,2.705,190.66,76.182,57.902,327.449
10.0.0.180:5000/localmongo:latest,2024-06-03T11:17:17Z,72.2 MiB,2.691,215.8,83.366,62.43,364.287
10.0.0.180:5000/localmongo:latest,2024-06-03T12:15:55Z,72.2 MiB,2.813,184.84,79.695,57.957,325.305
10.0.0.180:5000/localmongo:latest,2024-06-03T10:12:54Z,72.2 MiB,2.655,187.72,72.198,51.942,314.515
10.0.0.180:5000/localmongo:latest,2024-06-03T11:42:04Z,72.2 MiB,2.733,202.07,86.485,61.751,353.039
10.0.0.180:5000/localmongo:latest,2024-06-03T12:11:47Z,72.2 MiB,2.802,197.71,77.719,56.86,335.091
10.0.0.180:5000/localmongo:latest,2024-06-03T11:42:56Z,72.2 MiB,2.72,211.87,89.844,64.73,369.164
10.0.0.180:5000/localmongo:latest,2024-06-03T12:06:02Z,72.2 MiB,2.868,191.4,76.322,55.069,325.659
10.0.0.180:5000/localmongo:latest,2024-06-03T11:55:10Z,72.2 MiB,3.122,222.34,99.654,77.578,402.694
10.0.0.180:5000/localmongo:latest,2024-06-03T11:43:50Z,72.2 MiB,2.611,188.72,82.698,61.008,335.037
10.0.0.180:5000/localmongo:latest,2024-06-03T11:48:37Z,72.2 MiB,2.636,205.53,92.063,68.147,368.376
10.0.0.180:5000/localmongo:latest,2024-06-03T11:36:56Z,72.2 MiB,2.637,203.55,85.952,61.565,353.704
10.0.0.180:5000/localmongo:latest,2024-06-03T10:56:18Z,72.2 MiB,2.813,211.86,85.569,61.265,361.507
10.0.0.180:5000/localmongo:latest,2024-06-03T10:04:44Z,72.2 MiB,2.733,196.38,89.495,66.698,355.306
10.0.0.180:5000/localmongo:latest,2024-06-03T10:00:15Z,72.2 MiB,2.788,210.69,87.025,64.846,365.349
10.0.0.180:5000/localmongo:latest,2024-06-03T11:26:46Z,72.2 MiB,1.756,177.86,81.708,64.073,325.397
10.0.0.180:5000/localmongo:latest,2024-06-03T12:09:40Z,72.2 MiB,2.856,191.96,80.138,60.443,335.397
10.0.0.180:5000/localmongo:latest,2024-06-03T10:09:42Z,72.2 MiB,2.817,203.5,85.965,64.774,357.056
10.0.0.180:5000/localmongo:latest,2024-06-03T12:12:14Z,72.2 MiB,2.845,202.11,81.203,57.083,343.241
10.0.0.180:5000/localmongo:latest,2024-06-03T10:20:39Z,72.2 MiB,2.751,200.09,86.477,61.892,351.21
10.0.0.180:5000/localmongo:latest,2024-06-03T11:42:30Z,72.2 MiB,2.672,182.39,77.801,57.668,320.531
10.0.0.180:5000/localmongo:latest,2024-06-03T10:07:26Z,72.2 MiB,2.719,219.31,95.104,67.314,384.447
10.0.0.180:5000/localmongo:latest,2024-06-03T10:22:27Z,72.2 MiB,2.783,190.53,80.543,61.638,335.494
10.0.0.180:5000/localmongo:latest,2024-06-03T11:12:55Z,72.2 MiB,2.642,190.55,82.266,59.924,335.382
10.0.0.180:5000/localmongo:latest,2024-06-03T10:17:54Z,72.2 MiB,3.611,219.24,89.553,65.595,377.999
