Image,Checkpointed,Checkpoint size,Freezing time,Frozen time,Memdump time,Memwrite time,Total dump time (ms)
10.0.0.180:5000/localredis:latest,2024-05-27T23:31:14Z,2.8 MiB,407 µs,71.983 ms,3.641 ms,2.221 ms,78.252
10.0.0.180:5000/localredis:latest,2024-05-27T22:22:55Z,2.6 MiB,668 µs,99.982 ms,5.93 ms,3.498 ms,110.078
10.0.0.180:5000/localredis:latest,2024-05-28T08:37:55Z,2.6 MiB,446 µs,71.749 ms,4.841 ms,3.052 ms,80.088
10.0.0.180:5000/localredis:latest,2024-05-28T02:39:03Z,2.8 MiB,390 µs,73.197 ms,3.947 ms,2.535 ms,80.069
10.0.0.180:5000/localredis:latest,2024-05-28T11:13:26Z,2.6 MiB,583 µs,108.44 ms,6.02 ms,3.708 ms,118.751
10.0.0.180:5000/localredis:latest,2024-05-28T02:13:21Z,2.8 MiB,389 µs,81.543 ms,3.927 ms,2.374 ms,88.233
10.0.0.180:5000/localredis:latest,2024-05-28T02:43:16Z,2.8 MiB,397 µs,81.524 ms,3.653 ms,2.28 ms,87.854
10.0.0.180:5000/localredis:latest,2024-05-28T03:23:52Z,2.8 MiB,1.561 ms,80.037 ms,3.618 ms,2.245 ms,87.461
10.0.0.180:5000/localredis:latest,2024-05-27T21:41:09Z,2.6 MiB,650 µs,109.61 ms,5.863 ms,3.485 ms,119.608
10.0.0.180:5000/localredis:latest,2024-05-28T03:23:42Z,2.6 MiB,688 µs,109.08 ms,6.481 ms,3.746 ms,119.995
10.0.0.180:5000/localredis:latest,2024-05-28T03:36:53Z,2.8 MiB,372 µs,72.6 ms,3.611 ms,2.227 ms,78.81
10.0.0.180:5000/localredis:latest,2024-05-27T23:21:26Z,2.6 MiB,624 µs,106.88 ms,5.581 ms,3.457 ms,116.542
10.0.0.180:5000/localredis:latest,2024-05-28T05:15:10Z,2.6 MiB,462 µs,98.977 ms,4.136 ms,2.634 ms,106.209
10.0.0.180:5000/localredis:latest,2024-05-27T21:42:54Z,2.8 MiB,449 µs,77.24 ms,3.825 ms,2.437 ms,83.951
10.0.0.180:5000/localredis:latest,2024-05-28T04:23:38Z,2.8 MiB,364 µs,76.864 ms,3.474 ms,2.144 ms,82.846
10.0.0.180:5000/localredis:latest,2024-05-28T09:38:55Z,2.6 MiB,685 µs,100.81 ms,6.063 ms,3.739 ms,111.297
10.0.0.180:5000/localredis:latest,2024-05-28T02:49:02Z,2.6 MiB,651 µs,102.76 ms,5.667 ms,3.415 ms,112.493
10.0.0.180:5000/localredis:latest,2024-05-28T08:18:27Z,2.6 MiB,415 µs,73.12 ms,3.977 ms,2.517 ms,80.029
10.0.0.180:5000/localredis:latest,2024-05-27T22:45:29Z,2.8 MiB,404 µs,75.292 ms,4.258 ms,2.831 ms,82.785
10.0.0.180:5000/localredis:latest,2024-05-28T10:12:50Z,2.6 MiB,456 µs,73.414 ms,4.363 ms,2.733 ms,80.966
10.0.0.180:5000/localredis:latest,2024-05-28T08:00:56Z,2.6 MiB,445 µs,72.362 ms,3.915 ms,2.349 ms,79.071
10.0.0.180:5000/localredis:latest,2024-05-27T20:36:42Z,2.6 MiB,591 µs,98.004 ms,5.694 ms,3.457 ms,107.746
10.0.0.180:5000/localredis:latest,2024-05-27T22:49:50Z,2.6 MiB,949 µs,101.35 ms,5.909 ms,3.445 ms,111.653
10.0.0.180:5000/localredis:latest,2024-05-27T21:11:01Z,2.6 MiB,515 µs,114.89 ms,5.391 ms,3.366 ms,124.162
10.0.0.180:5000/localredis:latest,2024-05-27T22:34:55Z,2.8 MiB,394 µs,85.549 ms,4.156 ms,2.762 ms,92.861
10.0.0.180:5000/localredis:latest,2024-05-28T11:35:34Z,2.6 MiB,1.587 ms,94.496 ms,6.374 ms,3.889 ms,106.346
10.0.0.180:5000/localredis:latest,2024-05-28T02:02:15Z,2.8 MiB,421 µs,83.206 ms,3.988 ms,2.68 ms,90.295
10.0.0.180:5000/localredis:latest,2024-05-28T07:24:10Z,2.6 MiB,644 µs,99.471 ms,5.823 ms,3.605 ms,109.543
10.0.0.180:5000/localredis:latest,2024-05-28T11:19:46Z,2.6 MiB,628 µs,102.44 ms,6 ms,3.493 ms,112.561
10.0.0.180:5000/localredis:latest,2024-05-28T11:06:58Z,2.6 MiB,875 µs,95.427 ms,6.324 ms,3.865 ms,106.491
10.0.0.180:5000/localredis:latest,2024-05-28T02:54:22Z,2.6 MiB,644 µs,107.01 ms,5.789 ms,3.559 ms,117.002
10.0.0.180:5000/localredis:latest,2024-05-28T06:36:19Z,2.6 MiB,413 µs,81.301 ms,3.844 ms,2.442 ms,88
10.0.0.180:5000/localredis:latest,2024-05-28T00:17:39Z,2.8 MiB,371 µs,81.853 ms,3.944 ms,2.544 ms,88.712
10.0.0.180:5000/localredis:latest,2024-05-28T07:11:27Z,2.6 MiB,391 µs,76.358 ms,3.752 ms,2.349 ms,82.85
10.0.0.180:5000/localredis:latest,2024-05-28T06:07:09Z,2.6 MiB,597 µs,95.437 ms,5.68 ms,3.453 ms,105.167
10.0.0.180:5000/localredis:latest,2024-05-28T00:24:09Z,2.8 MiB,387 µs,77.434 ms,3.931 ms,2.598 ms,84.35
10.0.0.180:5000/localredis:latest,2024-05-28T10:15:41Z,2.6 MiB,656 µs,118.31 ms,5.996 ms,3.77 ms,128.732
10.0.0.180:5000/localredis:latest,2024-05-28T11:23:26Z,2.6 MiB,387 µs,77.832 ms,3.557 ms,2.176 ms,83.952
10.0.0.180:5000/localredis:latest,2024-05-28T07:28:58Z,2.6 MiB,370 µs,81.852 ms,5.496 ms,2.723 ms,90.441
10.0.0.180:5000/localredis:latest,2024-05-28T10:00:25Z,2.6 MiB,855 µs,107.78 ms,6.003 ms,3.777 ms,118.415
10.0.0.180:5000/localredis:latest,2024-05-28T01:22:22Z,2.6 MiB,701 µs,104.15 ms,5.833 ms,3.634 ms,114.318
10.0.0.180:5000/localredis:latest,2024-05-27T23:24:14Z,2.8 MiB,352 µs,74.521 ms,3.635 ms,2.209 ms,80.717
10.0.0.180:5000/localredis:latest,2024-05-28T06:12:20Z,2.6 MiB,655 µs,111.25 ms,5.292 ms,3.167 ms,120.364
10.0.0.180:5000/localredis:latest,2024-05-27T20:50:51Z,2.6 MiB,618 µs,120.64 ms,5.872 ms,3.635 ms,130.765
10.0.0.180:5000/localredis:latest,2024-05-28T05:57:33Z,2.6 MiB,395 µs,69.824 ms,3.868 ms,2.572 ms,76.659
10.0.0.180:5000/localredis:latest,2024-05-28T04:12:14Z,2.8 MiB,720 µs,75.072 ms,3.512 ms,2.172 ms,81.476
10.0.0.180:5000/localredis:latest,2024-05-27T23:38:51Z,2.8 MiB,436 µs,74.813 ms,4.545 ms,2.859 ms,82.653
10.0.0.180:5000/localredis:latest,2024-05-27T21:30:01Z,2.6 MiB,687 µs,95.73 ms,6.047 ms,3.595 ms,106.059
10.0.0.180:5000/localredis:latest,2024-05-28T02:03:23Z,2.6 MiB,656 µs,103.03 ms,5.649 ms,3.51 ms,112.845
10.0.0.180:5000/localredis:latest,2024-05-28T07:15:24Z,2.6 MiB,429 µs,74.434 ms,4.413 ms,2.698 ms,81.974
10.0.0.180:5000/localredis:latest,2024-05-27T21:53:57Z,2.6 MiB,680 µs,84.8 ms,6.088 ms,3.599 ms,95.167
10.0.0.180:5000/localredis:latest,2024-05-28T09:21:24Z,2.6 MiB,402 µs,75.44 ms,3.864 ms,2.405 ms,82.111
10.0.0.180:5000/localredis:latest,2024-05-28T10:22:27Z,2.6 MiB,665 µs,108.68 ms,6.788 ms,3.977 ms,120.11
10.0.0.180:5000/localredis:latest,2024-05-27T23:27:25Z,2.8 MiB,431 µs,74.596 ms,4.656 ms,2.944 ms,82.627
10.0.0.180:5000/localredis:latest,2024-05-28T05:22:00Z,2.8 MiB,398 µs,89.276 ms,4.647 ms,2.916 ms,97.237
10.0.0.180:5000/localredis:latest,2024-05-28T03:53:34Z,2.6 MiB,617 µs,99.263 ms,5.571 ms,3.335 ms,108.786
10.0.0.180:5000/localredis:latest,2024-05-28T06:25:06Z,2.6 MiB,455 µs,81.257 ms,3.974 ms,2.521 ms,88.207
10.0.0.180:5000/localredis:latest,2024-05-28T08:14:40Z,2.6 MiB,657 µs,113.18 ms,6.541 ms,3.781 ms,124.159
10.0.0.180:5000/localredis:latest,2024-05-28T01:08:59Z,2.8 MiB,388 µs,75.32 ms,3.875 ms,2.551 ms,82.134
10.0.0.180:5000/localredis:latest,2024-05-27T22:25:40Z,2.8 MiB,406 µs,76.998 ms,3.917 ms,2.579 ms,83.9
10.0.0.180:5000/localredis:latest,2024-05-28T10:44:15Z,2.6 MiB,629 µs,105.04 ms,5.875 ms,3.618 ms,115.162
10.0.0.180:5000/localredis:latest,2024-05-28T07:28:48Z,2.6 MiB,623 µs,93.909 ms,5.881 ms,3.619 ms,104.032
10.0.0.180:5000/localredis:latest,2024-05-28T08:02:43Z,2.6 MiB,649 µs,102.82 ms,6.839 ms,4.09 ms,114.398
10.0.0.180:5000/localredis:latest,2024-05-28T08:46:58Z,2.6 MiB,662 µs,104.54 ms,5.944 ms,3.684 ms,114.83
10.0.0.180:5000/localredis:latest,2024-05-28T10:24:42Z,2.6 MiB,581 µs,97.8 ms,5.442 ms,3.278 ms,107.101
10.0.0.180:5000/localredis:latest,2024-05-27T22:25:01Z,2.8 MiB,394 µs,89.691 ms,3.921 ms,2.529 ms,96.535
10.0.0.180:5000/localredis:latest,2024-05-28T01:06:32Z,2.6 MiB,716 µs,104.79 ms,5.861 ms,3.515 ms,114.882
10.0.0.180:5000/localredis:latest,2024-05-28T09:26:17Z,2.6 MiB,408 µs,81.355 ms,3.946 ms,2.226 ms,87.935
10.0.0.180:5000/localredis:latest,2024-05-28T00:37:52Z,2.6 MiB,655 µs,105.01 ms,6.431 ms,3.785 ms,115.881
10.0.0.180:5000/localredis:latest,2024-05-28T02:48:23Z,2.6 MiB,640 µs,99.384 ms,5.919 ms,3.749 ms,109.692
10.0.0.180:5000/localredis:latest,2024-05-28T05:30:40Z,2.6 MiB,409 µs,76.426 ms,3.812 ms,2.388 ms,83.035
10.0.0.180:5000/localredis:latest,2024-05-28T03:40:58Z,2.6 MiB,691 µs,112.13 ms,6.121 ms,3.492 ms,122.434
10.0.0.180:5000/localredis:latest,2024-05-28T11:06:17Z,2.6 MiB,717 µs,102.29 ms,8.783 ms,5.868 ms,117.658
