Image,Checkpointed,Checkpoint size,Freezing time,Frozen time,Memdump time,Memwrite time,Total dump time
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,461,96.415,8.196,5.573,110.645
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,276,69.305,4.699,3.056,77.336
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,256,93.185,4.166,2.862,100.469
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,270,79.1,4.844,3.138,87.352
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,479,92.321,9.167,6.097,108.064
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,268,74.707,4.203,2.635,81.813
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,451,96.539,8.283,5.474,110.747
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,285,86.204,4.815,3.154,94.458
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,491,117.01,8.219,5.353,131.073
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,264,82.3,4.873,3.179,90.616
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,271,78.658,4.691,3.011,86.631
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,225,87.496,3.917,2.478,94.116
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,472,105.65,7.864,5.191,119.177
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,227,80.063,3.912,2.671,86.873
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,463,106.23,8.956,5.99,121.639
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,257,94.957,4.808,2.983,103.005
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,377,93.977,6.132,3.881,104.367
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,330,76.162,4.933,3.14,84.565
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,282,102.01,5.446,3.428,111.166
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,248,76.814,4.643,3.097,84.802
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,280,106.03,4.113,2.737,113.16
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,260,78.829,4.694,3.123,86.906
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,423,99.281,7.854,5.172,112.73
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,272,78.871,4.766,3.089,86.998
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,469,100.51,7.894,5.12,113.993
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,298,78.288,5.056,3.266,86.908
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,479,86.156,8.205,5.376,100.216
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,271,84.346,4.859,3.012,92.488
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,228,74.225,5.402,4.035,83.89
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,267,80.61,4.795,3.064,88.736
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,459,100.54,13.077,10.199,124.275
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,268,81.969,7.17,5.484,94.891
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,332,79.324,5.173,3.512,88.341
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,254,80.752,5.13,3.232,89.368
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,263,71.035,5.38,4.065,80.743
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,251,72.365,4.735,3.055,80.406
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,418,92.118,4.882,3.518,100.936
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,273,78.695,4.378,3.077,86.423
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,326,76.912,5.498,3.716,86.452
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,260,75.761,4.556,3.124,83.701
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,424,99.468,8.05,5.363,113.305
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,273,78.28,5.055,3.579,87.187
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,458,112.51,9.478,6.644,129.09
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,253,69.293,4.508,3.138,77.192
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,257,75.884,4.633,3.126,83.9
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,308,75.97,4.52,3.076,83.874
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,276,101.98,5.68,4,111.936
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,314,92.067,5.018,3.185,100.584
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,563,98.825,8.157,5.366,112.911
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,273,75.712,3.696,2.432,82.113
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,422,109.1,8.482,5.651,123.655
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,279,79.939,6.139,3.95,90.307
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,430,97.841,8.154,5.261,111.686
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,360,77.612,4.825,3.144,85.941
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,437,102.11,8.042,5.443,116.032
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,224,68.882,3.927,2.635,75.668
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,440,90.245,8.131,5.533,104.349
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,261,85.68,4.775,3.06,93.776
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,432,96.346,8.081,5.419,110.278
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,228,68.713,3.96,2.697,75.598
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,420,94.211,6.168,4.115,104.914
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,260,81.226,4.909,3.244,89.639
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,424,91.526,8.193,5.494,105.637
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,283,70.81,4.521,2.976,78.59
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,478,101.14,8.135,5.315,115.068
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,268,76.43,5.255,3.339,85.292
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,419,99.874,7.987,5.354,113.634
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,271,78.624,3.936,2.598,85.429
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,348,94.954,5.561,3.919,104.782
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,435,88.173,7.103,5.553,101.264
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,532,90.977,8.616,5.395,105.52
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,468,76.263,5.131,3.728,85.59
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,288,88.969,5.157,3.43,97.844
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,248,75.894,5.827,3.633,85.602
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,407,88.472,5.671,3.681,98.231
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,260,78.091,4.72,3.115,86.186
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,488,107.32,8.077,5.359,121.244
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,250,91.439,4.704,3.137,99.53
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,454,92.231,7.769,5.208,105.662
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,247,75.93,5.142,3.334,84.653
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,467,91.103,7.585,5.078,104.233
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,276,70.218,4.782,3.201,78.477
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,439,89.166,7.663,5.052,102.32
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,282,71.269,5.554,3.729,80.834
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,307,104.66,4.585,3.132,112.684
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,253,71.854,4.503,3.106,79.716
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,446,93.499,7.96,5.358,107.263
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,251,75.315,4.674,3.068,83.308
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,516,97.038,7.656,5.164,110.374
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,257,98.574,4.79,3.156,106.777
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,254,87.213,3.852,2.467,93.786
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,260,78.115,4.709,3.068,86.152
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,427,99.633,8.247,5.415,113.722
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,285,82.461,4.423,3.048,90.217
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,462,94.888,8.978,6.063,110.391
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,267,74.213,4.523,3.216,82.219
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,445,105.96,7.641,5.016,119.062
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,226,78.133,3.806,2.543,84.708
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,430,96.977,8.112,5.468,110.987
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,273,70.883,4.707,3.052,78.915
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,500,96.291,8.14,5.358,110.289
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,258,79.776,4.759,3.019,87.812
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,456,100.07,8.253,5.355,114.134
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,280,79.685,5.325,3.384,88.674
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,464,97.631,8.226,5.386,111.707
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,267,88.398,4.707,3.038,96.41
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,456,110.49,8.337,5.468,124.751
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,261,87.033,4.788,3.147,95.229
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,454,103.63,8.008,5.191,117.283
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,275,76.19,4.769,3.07,84.304
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,289,89.536,5.865,3.926,99.616
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,258,75.518,4.715,3.023,83.514
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,279,96.613,4.299,2.887,104.078
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,263,81.886,4.707,3.021,89.877
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,422,105.37,7.936,5.32,119.048
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,233,68.098,3.716,2.549,74.596
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,549,85.475,4.96,3.286,94.27
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,369,88.594,7.257,4.999,101.219
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,299,98.032,5.247,3.53,107.108
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,2.693,91.76,5.057,3.352,102.862
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,425,89.254,7.836,5.275,102.79
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,264,94.728,4.791,3.111,102.894
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,445,97.459,8.282,5.574,111.76
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,265,80.641,5.202,3.222,89.33
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,429,97.992,8.136,5.47,112.027
